id,value
category.Manufacturing.Andrew Currie,7600
category.Technology.Joe Gebbia,7600
category.Real Estate.Philip Ng,7600
category.Manufacturing.John Reece,7600
category.Real Estate.Leonard Stern,7600
category.Technology.Joseph Tsai,7600
category.Healthcare.Zhong Huijuan,7600
category.Sports.Arthur Blank,7500
category.Fashion & Retail.Charles Butt,7500
category.Fashion & Retail.Ding Shijia,7500
"category.Finance & Investments.Paul Tudor Jones, II․",7500
category.Finance & Investments.Henry Kravis,7500
category.Food & Beverage.Zhang Yong,7500
category.Technology.James Goodnight,7400
category.Manufacturing.Sri Prakash Lohia,7400
category.Fashion & Retail.Ma Jianrong,7400
category.Real Estate.Robert Ng,7400
category.Manufacturing.Steven Rales,7400
category.Construction & Engineering.Nassef Sawiris,7400
category.Food & Beverage.Harry Stine,7400
category.Manufacturing.Benu Gopal Bangur,7300
category.Metals & Mining.Iskander Makhmudov,7300
category.Fashion & Retail.Anders Holch Povlsen,7300
category.Logistics.Enrique Razon Jr․,7300
category.Technology.Wang Laichun,7300
category.Finance & Investments.Arthur Dantchik,7200
category.Technology.Terry Gou,7200
category.Real Estate.Jeff Greene,7200
category.Finance & Investments.Don Hankey,7200
category.Energy.Richard Kinder,7200
category.Finance & Investments.Guillaume Pousaz,7200
category.Fashion & Retail.Takahisa Takahara,7200
category.Food & Beverage.Zong Qinghou,7200
category.Technology.Judy Faulkner,7100
category.Gambling & Casinos.Johann Graf,7100
category.Service.Tamara Gustavson,7100
category.Manufacturing.Liang Wengen,7100
category.Healthcare.Frederik Paulsen,7100
category.Finance & Investments.Wee Cho Yaw,7100
category.Manufacturing.Zhang Hejun,7100
category.Technology.Marc Benioff,7000
category.Media & Entertainment.Dmitri Bukhman,7000
category.Media & Entertainment.Igor Bukhman,7000
category.Technology.Jack Dangermond,7000
category.Manufacturing.Ashwin Dani & family,7000
category.Fashion & Retail.Ralph Lauren,7000
category.Real Estate.Law Kar Po,7000
category.Diversified.Rohiqa Cyrus Mistry,7000
category.Diversified.Shapoor Mistry,7000
category.Food & Beverage.J․ Christopher Reyes,7000
category.Food & Beverage.Jude Reyes,7000
category.Food & Beverage.Don Vultaggio & family,7000
category.Diversified.Alejandro Bailleres Gual & family,6900
category.Diversified.Edythe Broad & family,6900
category.Food & Beverage.Pauline MacMillan Keinath,6900
category.Finance & Investments.Philippe Laffont,6900
category.Technology.Liu Jincheng & family,6900
category.Real Estate.Igor Olenicoff,6900
category.Fashion & Retail.Sandra Ortega Mera,6900
category.Healthcare.Ronda Stryker,6900
category.Energy.Dannine Avara,6800
category.Diversified.Silvio Berlusconi & family,6800
category.Gambling & Casinos.Denise Coates,6800
category.Energy.Scott Duncan,6800
category.Energy.Milane Frantz,6800
"category.Finance & Investments.Edward Johnson, IV․",6800
category.Finance & Investments.Yuri Milner,6800
category.Technology.Gordon Moore,6800
category.Finance & Investments.John Overdeck,6800
category.Finance & Investments.David Siegel,6800
category.Diversified.Viktor Vekselberg,6800
category.Technology.Wang Laisheng,6800
category.Energy.Randa Duncan Williams,6800
